Timestamp,Object,Counter Shape Name,Count
2025-05-27 16:11:33.710,Motion Detected,main Road Angre entry,1
2025-05-27 16:11:35.735,Motion Detected,main Road Angre entry,2
2025-05-27 16:11:37.771,Motion Detected,main Road Angre entry,3
2025-05-27 16:11:39.032,Motion Detected,main road angre out,1
2025-05-27 16:11:39.821,Motion Detected,main Road Angre entry,4
2025-05-27 16:11:41.040,Motion Detected,main road angre out,2
2025-05-27 16:11:41.868,Motion Detected,main Road Angre entry,5
2025-05-27 16:11:43.099,Motion Detected,main road angre out,3
2025-05-27 16:11:43.899,Motion Detected,main Road Angre entry,6
2025-05-27 16:11:45.154,Motion Detected,main road angre out,4
2025-05-27 16:11:45.941,Motion Detected,main Road Angre entry,7
2025-05-27 16:11:47.949,Motion Detected,main Road Angre entry,8
2025-05-27 16:11:49.968,Motion Detected,main Road Angre entry,9
2025-05-27 16:11:52.004,Motion Detected,main Road Angre entry,10
2025-05-27 16:11:54.033,Motion Detected,main Road Angre entry,11
2025-05-27 16:11:56.056,Motion Detected,main Road Angre entry,12
2025-05-27 16:11:58.071,Motion Detected,main Road Angre entry,13
