frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,car_color
405,132,[1040.939999212951 643.0605318155631 1415.2720879689564 934.3379729568564],[1171.9984130859375 766.311767578125 1291.4732666015625 799.55859375],0.6450477242469788,2752KB01,0.4490445962039204,Unknown
408,132,[1041.9488959854395 636.6538856418531 1411.6414003763305 923.3112455702437],[1172.0672607421875 757.9364013671875 1289.2078857421875 787.64306640625],0.6875220537185669,2752KB01,0.3114094398703923,Unknown
409,132,[1042.7248195233756 633.3112702218028 1410.4431375456734 918.2805001825465],[1170.873779296875 754.9420166015625 1288.74462890625 784.757080078125],0.6819337606430054,2752KB01,0.3653617170386064,Unknown
410,132,[1042.9241991863114 630.6254940535941 1409.4995587053818 914.4167838151634],[1173.046142578125 752.4227294921875 1286.1859130859375 781.9005126953125],0.6749576330184937,2752KB01,0.22032244786110905,Unknown
412,132,[1044.85790892258 629.596515485653 1407.6095633973423 906.8680736431792],[1168.4495849609375 746.3924560546875 1292.6185302734375 779.1666870117188],0.7516213059425354,2252KB03,0.1106493846160739,Unknown
414,132,[1046.9109861216289 628.1470778675683 1405.626728047344 901.2777665028797],[1172.658447265625 745.3840942382812 1289.2061767578125 777.1657104492188],0.717335045337677,2752KB01,0.557745108311837,Unknown
416,132,[1048.2069530206636 626.0765291896653 1402.1885914935547 898.5225635605339],[1175.2548828125 739.8999633789062 1282.5462646484375 772.7937622070312],0.5188133120536804,2752KO01,0.201575761376187,Unknown
426,132,[1057.4765852291557 618.1389035074342 1390.5784326709795 876.1417777009756],[1172.8360595703125 724.0413208007812 1280.9532470703125 753.9208374023438],0.6817325353622437,2757KP03,0.28893781568945986,Unknown
428,132,[1058.002003272771 615.3873673152154 1386.7878168882028 870.6833651010129],[1173.1927490234375 722.849853515625 1284.3216552734375 752.991943359375],0.6991162300109863,2752KO01,0.8489926780711254,Unknown
434,132,[1061.9327102970938 619.6556034022107 1377.925488834152 870.7349649140184],[1169.37255859375 720.9132690429688 1277.148193359375 753.091552734375],0.643811047077179,2252KO01,0.33450208986426294,Unknown
435,132,[1062.399080947624 618.8337742675213 1376.4171098428865 869.9492453984584],[1171.228515625 719.6072998046875 1271.8740234375 750.1439819335938],0.6041602492332458,2252IO01,0.3370597064427433,Unknown
441,132,[1062.9419425885726 615.0693684425352 1368.0108339438207 860.5557160297848],[1170.0823974609375 713.5134887695312 1262.9747314453125 738.70703125],0.63099604845047,2252KE61,0.20688113346264647,Unknown
447,132,[1060.6983438167567 609.591639098942 1357.4613884454152 853.1129301152238],[1165.367431640625 708.4255981445312 1260.64208984375 733.82177734375],0.6963582038879395,2752KB01,0.5154607454044297,Unknown
453,132,[1053.285403443309 607.2523332149526 1343.2984371110574 849.9280197800506],[1150.7490234375 703.4386596679688 1246.3707275390625 729.8456420898438],0.6260392665863037,2762MO01,0.16544167932346332,Unknown
456,132,[1049.6952213111092 607.6096922441076 1334.9097448454734 847.9022284594038],[1147.5880126953125 703.5060424804688 1243.267578125 729.9415283203125],0.6252884268760681,2252KB01,0.5297659890732512,Unknown
460,132,[1045.6865264717144 608.6885034093335 1326.9274423560914 841.0469497988455],[1144.7713623046875 701.5691528320312 1231.124267578125 729.4718627929688],0.6705994606018066,2252AB01,0.27258438106904226,Unknown
1141,310,[207.50409124919125 642.0779722062413 606.005484103011 860.9808120885053],[442.28118896484375 794.8385009765625 542.7255249023438 827.0269775390625],0.509484052658081,AJ910KS,0.13200310802425547,Unknown
1481,367,[1283.577122139979 645.2720430779407 1884.6177620616695 961.5976489251436],[1645.5234375 800.6971435546875 1769.7685546875 831.4339599609375],0.6693220734596252,3173FE01,0.4757445477419396,Unknown
1482,367,[1278.120639095788 644.4308399268203 1872.408905725256 957.0376939858658],[1628.3739013671875 796.1396484375 1731.859619140625 827.4188232421875],0.58530592918396,3173FE01,0.2105878590839378,Unknown
1509,367,[1217.667554869818 637.8687686459803 1617.1062479717261 878.6497414902992],[1439.5655517578125 750.5480346679688 1533.31591796875 778.4657592773438],0.5860136151313782,CJ223EQ,0.08528109166817785,Unknown
